Title,Abstract,Keywords,Source,Year,Document_Type,Authors,DOI
Measures of mental alertness of construction workers to enhance job site safety,"The construction industry is among the most dangerous industries, as one in five worker deaths is related to construction job sites. Construction projects are unique in nature with different rationales and requirements. There are safety issues within each step of the construction phase at each project. This study aims to include factors of uncertainty such as performance of construction workers and their state of alertness in their work conditions in response to external stimuli. To address the relationship between human factors and safety concerns at job sites, an exploratory study was conducted to evaluate which factors impact a worker's perception of the jobsite and how these factors can be used to predict and decrease jobsite accidents. This study is a multidisciplinary project and combines three different domains including construction management, construction safety, and cognitive psychology, to evaluate workers' perceptions of safety hazards based on their mental alertness. This study is proposed as a pilot study and will pave the way for the further implementation of mental alertness measures at construction projects. © 2018 American Society of Civil Engineers (ASCE). All rights reserved.",Construction safety; Human factors; Mental alertness,Construction Research Congress 2018: Safety and Disaster Management - Selected Papers from the Construction Research Congress 2018,2018,Conference,Mohammadpour A.; Khalighi M.; Karan E.; Bendele M.; Marshall A.,10.1061/9780784481288.026
Expert knowledge elicitation to generate human factors guidance for future European Rail Traffic Management System (ERTMS) train driving models,"The European Rail Traffic Management System (ERTMS) will have an impact on the train driving task and the behaviour of the train drivers. This paper presents a part of the final study of the series of studies that have been conducted as part of a three-year research project, which investigated the effects of ERTMS on the behaviour of the train drivers. In recent times, a number of models of train driving have been developed in order to inform the design of the train driving technology and understand the implications of the design of the train driving task on the performance of the drivers and their behaviour. An expert knowledge elicitation study was conducted to evaluate the existing train driving models and to generate a guidance on human factors for the future ERTMS train driving models. The study consisted of a workshop, which was conducted using the rail human factor experts who have been directly involved with the projects examining ERTMS. The current train driving models were evaluated and ideas were generated as to how these should be shaped in the future to include systems such as ERTMS. The findings of the study contributed to bridging the gap between the theoretical understanding of the cognitive strategies of the train drivers and the practical implementation of novel technologies by the rail industry. © 2017, © IMechE 2017.",European Rail Traffic Management System; human factors; Train driving,"Proceedings of the Institution of Mechanical Engineers, Part F: Journal of Rail and Rapid Transit",2017,Journal,Naghiyev A.; Sharples S.; Ryan B.; Coplestone A.; Carey M.,10.1177/0954409717695902
Missing focus on Human Factors - Organizational and cognitive ergonomics - In the safety management for the petroleum industry,"More attention has recently been given to Human Factors in petroleum accident investigations. The Human Factors areas examined in this article are organizational, cognitive and physical ergonomics. A key question to be explored is as follows: To what degree are the petroleum industry and safety authorities in Norway focusing on these Human Factors areas from the design phase? To investigate this, we conducted an innovative exploratory study of the development of four control centres in Norwegian oil and gas industry in collaboration between users, management and Human Factors experts. We also performed a literature survey and discussion with the professional Human Factors network in Norway. We investigated the Human Factors focus, reasons for not considering Human Factors and consequences of missing Human Factors in safety management. The results revealed an immature focus and organization of Human Factors. Expertise on organizational ergonomics and cognitive ergonomics are missing from companies and safety authorities and are poorly prioritized during the development. The easy observable part of Human Factors (i.e. physical ergonomics) is often in focus. Poor focus on Human Factors in the design process creates demanding conditions for human operators and impact safety and resilience. There is lack of non-technical skills such as communication and decision-making. New technical equipment such as Closed Circuit Television is implemented without appropriate use of Human Factors standards. Human Factors expertise should be involved as early as possible in the responsible organizations. Verification and validation of Human Factors should be improved and performed from the start, by certified Human Factors experts in collaboration with the workforce. The authorities should check-back that the regulatory framework of Human Factors is communicated, understood and followed. © Institution of Mechanical Engineers.",accident analysis; design for reliability; Human Factors; human reliability; safety analysis; Safety engineering,"Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability",2017,Journal,Johnsen S.O.; Kilskar S.S.; Fossum K.R.,10.1177/1748006X17698066
Performance awarenessPredicting cognitive performance during simulated shiftwork using chronobiological measures,Physiological tracers of circadian rhythms and a performance awareness index were examined as predictors of cognitive performance during two sleep deprivation conditions common to occupational shiftwork. Study 1Thirty-three sleep-deprived participants completed a simulated nightshift. Study 2Thirty-two partially sleep-deprived participants completed a simulated dayshift. A standardized logic test was used to measure cognitive performance. Body temperature and heart rate were measured as chronobiological indices of endogenous circadian rhythms. Performance awareness was calculated as a correlation between actual and perceived performance. These studies demonstrated a parallelism between performance awareness and the circadian rhythm. Chronobiological changes were predictive of performance awareness during the simulated nightshift but not dayshift. Only oral temperature was a significant independent predictor. Oral temperature predicted an individual's awareness of their own performance better than their own subjective awareness. These findings suggest that using circadian rhythms in applied ergonomics may reduce occupational risk due to low performance awareness. © 2017 Elsevier Ltd,Body temperature; Circadian rhythm; Occupational health,Applied Ergonomics,2017,Journal,Morris D.M.; Pilcher J.J.; Mulvihill J.B.; Vander Wood M.A.,10.1016/j.apergo.2017.03.009
On the use of Virtual Reality for a human-centered workplace design,"In the Industry 4.0 and digital revolution era, the world of manufacturing industry is experiencing an innovative reconfiguration of design tools and methodologies, with a different approach to the production processes organization. The design philosophy is changing, integrating to engineering contribution interpretative aspects (design thinking), executive practices (design doing) and cognitive aspects (design cultures). The design becomes human-centered. The new Virtual Reality technologies allow to validate performances of designed products and production processes by means of virtual prototypes in a virtual simulated environment. This approach generates several benefits to the companies, in terms of costs and time, and allows optimizing the assembly line design and related workplaces, by improving workers' benefits too. This paper proposes an innovative method to validate the design of workplaces on automotive assembly lines in a virtual environment, based on ergonomic approach, according to ERGO - Uas system, applied by FCA (Fiat Chrysler Automobiles) groups, that integrates UAS method for measurement and EAWS method for biomechanical effort evaluation. Creating 3D virtual scenarios allows to carry on assembly tasks by virtual manikins in order to be evaluated from different points of view. In particular, data coming from the simulation can be used to assess several ergonomic indexes, improving safety, quality and design. The analysis is supported by the use of a motion capture system, developed by the University of Campania and composed of wearable inertial sensors, that estimates the attitude of fundamental human segments, using sensor fusion algorithms based on Kalman filtering. In this way, it is possible to make a further design validation, assessing the EAWS index basing on posture angles trends evaluated. This method can represent an innovation for human-centered design of workplace in developing new products, reducing costs and improving job quality. © 2018 Procedia Structural Integrity. All rights reserved.",design; ergonomics; manufacturing; motion capture; product feasibility; simulation; Virtual reality,Procedia Structural Integrity,2018,Conference,Caputo F.; Greco A.; D'Amato E.; Notaro I.; Spada S.,10.1016/j.prostr.2017.12.031
A multi-discipline method to assess the human performance in manufacturing industry for safety and quality optimization,"Nowadays the majority of organizations operating in manufacturing field recognize the importance of including the Human Factor contribution in the industrial process optimization (Hong et al. 2007). Technical measures and work organization procedures have been optimized in order to reduce the defects and waste generation but the Human Performance prediction still represents for Managers a difficult task to deal with.The prediction of the human performances of all workers involved in a production system would help Managers in better allocating the human resources. In order to reach this objective, a model to quantify the human capability of managing a complex task in a working context characterized by a set of physical, organizational and cognitive factors was designed.This paper presents the preliminary results of a three years industry/academia partnership project to assess the human performance in manufacturing plant. A multi-discipline approach involving both technical and individual factors was adopted. © 2018 Taylor & Francis Group, London.",,"Safety and Reliability - Safe Societies in a Changing World - Proceedings of the 28th International European Safety and Reliability Conference, ESREL 2018",2018,Conference,Comberti L.; Demichela M.; Leva M.C.,10.1201/9781351174664-48
The neuroergonomics of aircraft cockpits: The four stages of eye-tracking integration to enhance flight safety,"Commercial aviation is currently one of the safest modes of transportation; however, human error is still one major contributing cause of aeronautical accidents and incidents. One promising avenue to further enhance flight safety is Neuroergonomics, an approach at the intersection of neuroscience, cognitive engineering and human factors, which aims to create better human–system interaction. Eye-tracking technology allows users to “monitor the monitoring” by providing insights into both pilots’ attentional distribution and underlying decisional processes. In this position paper, we identify and define a framework of four stages of step-by-step integration of eye-tracking systems in modern cockpits. Stage I concerns Pilot Training and Flight Performance Analysis on-ground; stage II proposes On-board Gaze Recordings as extra data for the “black box” recorders; stage III describes Gaze-Based Flight Deck Adaptation including warning and alerting systems, and, eventually, stage IV prophesies Gaze-Based Aircraft Adaptation including authority taking by the aircraft. We illustrate the potential of these four steps with a description of incidents or accidents that we could certainly have avoided thanks to eye-tracking. Estimated milestones for the integration of each stage are also proposed together with a list of some implementation limitations. We believe that the research institutions and industrial actors of the domain will all benefit from the integration of the framework of the eye-tracking systems into cockpits. © 2018 by the authors.",Aircraft cockpit; Assistive technologies; Eye movements; Eye-tracking; Human factors; Neuroergonomics,Safety,2018,Journal,Peysakhovich V.; Lefrançois O.; Dehais F.; Causse M.,10.3390/safety4010008
Proposal for evaluatingworkers’work characteristics – Case study on business machinery production line,"The General Aptitude Test Battery (GATB) is widely used to evaluate a subject’s cognitive ability for the purpose of selecting appropriate employment. The results of the GATB have been used to place staff in departments ranging from clerical departments to assembly lines. However, at actual manufacturing and assembly sites, workers receive mixed evaluations of “slow work” and “fast work” from the site administrators even though they all have high GATB scores for their jobs. In this study, with the aim of improving job design and employment selection, we do a detailed analysis of the existing GATB method of evaluating work characteristics and worker capacities. We conduct inspection ratings to measure each worker’s ability to adjust their working speeds and analyze the relationship between the GATB score and the worker evaluations. Next, we discover specific motions that explain the evaluation of workers by analyzing worker motions during the GATB. Lastly, we propose a method of determining whether an employee can work quickly in the field. © 2017, Fuji Technology Press. All rights reserved.",Case study; General Aptitude Test Battery (GATB); Job design; Motion analyses; Work characteristics,International Journal of Automation Technology,2017,Journal,Taki S.; Kajihara Y.; Yamamoto A.,10.20965/ijat.2017.p0038
Psychophysiological assessment of an adaptive asynchronous human–machine system with the dual-task method,"Human error is one of the leading causes of industrial accidents at modern manufacturing production sites. An adaptive asynchronous human–machine system (Async-HMS) was previously proposed as a new mechanism for preventing the reduction of cognitive level by controlling the actual operation period of machines that lead to monotonous behavior. The objective of this paper is to assess Async-HMS from the aspects of person’s current capacity for performing processing resources. A dual-task method consisting of a synchronization task with three periodic fluctuations and four levels of difficulties of mental arithmetic tasks was conducted with Async-HMS on a PC. The three periodic fluctuations are constant periodic fluctuation (Cnst), perceptible periodic fluctuation (Supraliminal), and imperceptible periodic fluctuation (Subliminal). The task performance and the psychophysiological state were assessed through the dual-task method. In an ANOVA analysis, the time shared fraction, which is an index of processing resources devoted to an arithmetic task, had no significant effect on the synchronization task. The mean blood pressure in Subliminal had a significant increase compared with that in Cnst and Supraliminal. These results indicate that subliminal fluctuation evokes sympathetic hyperactivity without affecting processing resources. Implementation of subliminal operation period into industrial machines performing periodic behavior might inhibit monotony and, therefore, prevent human error. © 2017, ISAROB.",Dual-task method; Hemodynamic parameters; Human error; Human–machine system; Processing resources,Artificial Life and Robotics,2017,Journal,Bando S.; Oiwa K.; Nozawa A.,10.1007/s10015-017-0353-6
Towards modern inclusive factories: A methodology for the development of smart adaptive human-machine interfaces,"Modern manufacturing systems typically require high degrees of flexibility, in terms of ability to customize the production lines to the constantly changing market requests. For this purpose, manufacturing systems are required to be able to cope with changes in the types of products, and in the size of the production batches. As a consequence, the human-machine interfaces (HMIs) are typically very complex, and include a wide range of possible operational modes and commands. This generally implies an unsustainable cognitive workload for the human operators, in addition to a non-negligible training effort. To overcome this issue, in this paper we present a methodology for the design of adaptive human-centred HMIs for industrial machines and robots. The proposed approach relies on three pillars: measurement of user's capabilities, adaptation of the information presented in the HMI, and training of the user. The results expected from the application of the proposed methodology are investigated in terms of increased customization and productivity of manufacturing processes, and wider acceptance of automation technologies. The proposed approach has been devised in the framework of the European project INCLUSIVE. © 2017 IEEE.",,"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",2017,Conference,Villani V.; Sabattini L.; Czerniak J.N.; Mertens A.; Vogel-Heuser B.; Fantuzzi C.,10.1109/ETFA.2017.8247634
Decision centric knowledge management system for manufacturing SMEs: A conceptual framework,"Knowledge workers and their productivity has become the most crucial component for productivity and sustainability of SMEs all over the world. Decision-making is an integral part of the business process and one of the main responsibilities of knowledge workers. This study, therefore, focuses on developing a conceptual model to identify and evaluate the contribution of knowledge workers to the decision-making process and the mediating function of the knowledge management system. The proposed conceptual model illustrates the effect of cognitive skills, technical skills, and social skills of the knowledge workers on the knowledge management system (including information technology, human resource, and sharing behavior) and the decision-making process of manufacturing SMEs in Malaysia. The implication of this study may provide a useful reference point for researchers who are interested in research related to the adoption of knowledge workers and knowledge management system. © 2017 American Scientific Publishers. All rights reserved",Decision making; Knowledge management; Manufacturing SMEs,Advanced Science Letters,2017,Journal,Razali N.B.M.; Mamun A.A.; Zakaria M.N.B.; Malarvizhi C.A.; Nawi N.B.C.,10.1166/asl.2017.7612
Architectural framework in next learning support environment,"Information technology has given successive and successful evolutions to different types of methods, means, tools, systems, environments and so on in learning/teaching activities, as well as the effectiveness of various kinds of human activities such as industrial productions, social systems, economical managements, etc. This trend must be always evaluated positively when today is called as the information society, knowledge society or intelligent environment. On the contrary, it is true that the evolutional change has generated newly other problems in IT-based learning support strategy. In this paper, we address an architectural framework in the next learning support environment from a viewpoint of knowledge management. Our idea is to organize the paradigm, based on the newly-conceptualized learning action cycle of acquisition, understanding, utilization and thinking, but not derived from the traditional research view of acquisition and understanding. In order to attain this idea we adapt our knowledge handling model, proposed by ourselves, with a view to making up its platform and designing the functionality and mechanism. Also, we discuss the feature of our framework under the cognitive load and the goal achievement, which give important viewpoints to the learning activity that we always focus on when we address and develop the support functions/mechanism. © 2017 ACM.",Acquisition; Cognitive load; Goal achievement; Knowledge management; Learning support; Thinking; Understanding; Utilization,"Proceedings of the 11th International Conference on Ubiquitous Information Management and Communication, IMCOM 2017",2017,Conference,Watanabe T.,10.1145/3022227.3025023
Joint Resource Management in Cognitive Radio and Edge Computing Based Industrial Wireless Networks,"The Fourth Industrial Revolution we are experiencing currently is reshaping the world by facilitating factories with intelligence and significantly improved manufacturing efficiency and flexibility. Among the key technologies to achieve Industrie 4.0, industrial wireless networking enables convenient and reliable connections among the machines, network devices, cloud servers and humans for both delay-sensitive traffic and delay-tolerant data delivery. In this paper, the Cognitive radio and Edge computing based Industrial wireless Network (CEIN) is introduced. In CEIN, edge computing handles the processing requirements of the data during its transmission, and is deployed close to the machines for immediate response to delay-sensitive industrial data that requires real-time processing. Cognitive radio technologies are also adopted to ensure efficient spectrum resource utilization for big delay-tolerant data transmission that contributes mostly to the industrial data traffic. Besides, we propose an optimal networking and computing resource management scheme for CEIN. The harvested spectrum bands are allocated to the network devices taking into account of the computing requirements of industrial data. Stochastic optimization is adopted to find the optimal allocation actions with low on-line computational complexity. Extensive simulation results are also presented to demonstrate the significant system performance improvement. © 2017 IEEE.",,"Proceedings - IEEE Global Communications Conference, GLOBECOM",2017,Conference,Si P.; Liang H.; Wu W.; Zhang Y.,10.1109/GLOCOM.2017.8254745
Improving worker productivity in advanced manufacturing environments,"As information technology becomes more pervasive, the role of workers in manufacturing and commercial enterprises is changing rapidly from direct interaction with products and customers to supervisory control of increasingly complex systems. However, lean manufacturing has tended to focus mainly on physical production processes and is less effective when dealing with information flows and cognitive work. This paper describes research into work analysis methods that form the basis for effective productivity improvement guides for knowledge workers. Through an action research approach, it focuses on complex problem solving in a highly automated manufacturing environment. We present four productivity improvement principles accompanied by practical methods that improve the visibility and analysis of cognitive work, communication patterns and information flows. © 2017 IEEE.",cognitive work; knowledge work; Lean manufacturing; productivity; six sigma,"2017 International Conference on Engineering, Technology and Innovation: Engineering, Technology and Innovation Management Beyond 2020: New Challenges, New Approaches, ICE/ITMC 2017 - Proceedings",2017,Conference,Gleeson F.; Goodman L.; Hargaden V.; Coughlan P.,10.1109/ICE.2017.8279902
"Visual management and shop floor teams – development, implementation and use","This research investigates the use of visual management, specifically communications boards in a British lock manufacturing company. The research explores the design, implementation and use of communications boards over two years. The purpose of the research was to bring design principles from the graphic design and cognitive psychology into a previously informal process and to develop Visual Management (VM) principles to guide the design of the board. The research findings have acted as a proof of process for the introduction of VM theory into the design of communications boards and provide evidence that the VM principles improved the design of the board. This enabled Team Leaders to better engage in problem-solving and continuous improvement with their teams. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",action research; cellular manufacture; continuous improvement; lean manufacturing; visual management,International Journal of Production Research,2016,Journal,Bateman N.; Philp L.; Warrender H.,10.1080/00207543.2016.1184349
User interface prototype through participatory cognitive task analysis,"Transition of technology has led to the transformation from human physical strength to the cognitive thinking capability. In fact drastic changes in the technology have changed the research analysis from technical orientation to cognitive analysis. To date, the goal of this study is to design a User Interface (UI) which provides information for the user, to interpret and act upon effectively. In this study, close participation from the experts in the field of manufacturing industries are essential as their real time experiences in handling the system maintenance will be used as an input in developing UI prototype. Three instrumentation engineers from the manufacturing industries involved in this study, as to gather issues and problems in system maintenance by using Cognitive Task Analysis (CTA) method. In addition, system maintenance failure archived data were also analysed, to investigate the real time system maintenance problems. In order to help system users to be prepared on any possible obstacles during system maintenance, the input from the real time system maintenance problems were used to map up with the development of UI prototype. From the participatory CTA analysis, three common tasks that need to be considered in the UI prototype were cable, sensor and driver failures. Failure signal alarms were displayed on the UI prototype and solutions to overcome the system failure were also included in the UI prototype design. It is hope that by incorporating the real scenarios of the cognitive tasks in the development of the UI prototype will help users to enhance their tasks, and at the same time to increase the ease of use of the UI system at workplace. © 2016 IEEE.",cognitive task analysis; participatory approach; user interface design,"Proceedings - 2016 4th International Conference on User Science and Engineering, i-USEr 2016",2017,Conference,Rosli D.I.; Alias R.A.; Rahman A.A.,10.1109/IUSER.2016.7857943
"Movers, Shakers, and Those Who Stand Still: Visual Attention-grabbing Techniques in Robot Teleoperation","We designed and evaluated a series of teleoperation interface techniques that aim to draw operator attention while mitigating negative effects of interruption. Monitoring live teleoperation video feeds, for example to search for survivors in search and rescue, can be cognitively taxing, particularly for operators driving multiple robots or monitoring multiple cameras. To reduce workload, emerging computer vision techniques can automatically identify and indicate (cue) salient points of potential interest for the operator. However, it is not clear how to cue such points to a preoccupied operator - whether cues would be distracting and a hindrance to operators - and how the design of the cue may impact operator cognitive load, attention drawn, and primary task performance. In this paper, we detail our iterative design process for creating a range of visual attention-grabbing cues that are grounded in psychological literature on human attention, and two formal evaluations that measure attention-grabbing capability and impact on operator performance. Our results show that visually cueing on-screen points of interest does not distract operators, that operators perform poorly without the cues, and detail how particular cue design parameters impact operator cognitive load and task performance. Specifically, full-screen cues can lower cognitive load, but can increase response time; animated cues may improve accuracy, but increase cognitive load. Finally, from this design process we provide tested, and theoretically grounded cues for attention drawing in teleoperation. © 2017 ACM.",attention; human-robot interaction; multi-robot teleoperation,ACM/IEEE International Conference on Human-Robot Interaction,2017,Conference,Rea D.J.; Seo S.H.; Bruce N.; Young J.E.,10.1145/2909824.3020246
Design of an industrial human-robot system through participative simulations - Tank cleaning case study,"Industrials are starting to deploy interactive robots as new solutions to improve workstations. In particular, workstations where human operators may get injured because of repetitive tasks, bad postures or heavy loads are targeted. The introduction of such interactive systems on industrial workstations brings new challenges concerning human cognitive and physical considerations to factories. We followed an approach involving operators, and ergonomics and cognitive engineering skills to improve the introduction of interactive robots in the industry. In this paper, we present the first application of our work on a pyrotechnic tank cleaning workstation. Our approach is illustrated with the design of a solution through several simulation steps involving the workstation's operators. Finally, the design of a prototype based on a teleoperated robot is introduced. © 2017 IEEE.",,SII 2017 - 2017 IEEE/SICE International Symposium on System Integration,2017,Conference,Bitonneau D.; Moulières-Seban T.; Dumora J.; Ly O.; Thibault J.-F.; Salotti J.-M.; Claverie B.,10.1109/SII.2017.8279363
Cognitive work analysis: An influential legacy extending beyond human factors and engineering,"Jens Rasmussen's multifaceted legacy includes cognitive work analysis (CWA), a framework for the analysis, design, and evaluation of complex sociotechnical systems. After considering the framework's origins, this paper reviews its progress, predictably covering experimental research on ecological interface design, case studies of the application of CWA to human factors and engineering problems in industry, and methods and modelling tools for CWA. Emphasis is placed, however, on studying the nexus between some of the recent results obtained with CWA and the original field studies of human problem-solving that motivated the framework's development. Of particular interest is a case study of the use of CWA for military doctrine development, a problem commonly regarded as lying outside the fields of human factors and engineering. It is concluded that the value of CWA, even for such diverse problems, is likely to result from its conceptual grounding in empirical observations of patterns of human reasoning in complex systems. © 2016",Cognitive work analysis; Jens Rasmussen; Problem-solving; Reasoning; Sociotechnical systems,Applied Ergonomics,2017,Journal,Naikar N.,10.1016/j.apergo.2016.06.001
"Causes, consequences and countermeasures to driver fatigue in the rail industry: The train driver perspective","Fatigue is an important workplace risk management issue. Within the rail industry, the passing of a stop signal (signal passed at danger; SPAD) is considered to be one of the most major safety breaches which can occur. Train drivers are very aware of the negative consequences associated with a SPAD. Therefore, SPADs provide a practical and applied safety relevant context within which to structure a discussion on fatigue. Focus groups discussing contributing factors to SPADs were undertaken at eight passenger rail organisations across Australia and New Zealand (n = 28 drivers). Data relating to fatigue was extracted and inductively analysed identifying three themes: causes, consequences, and countermeasures (to fatigue). Drivers experienced negative consequences of fatigue, despite existing countermeasures to mitigate it. Organisational culture was a barrier to effective fatigue management. A fatigue assessment tool consistently informed rostering, however, shift swapping was commonplace and often unregulated, reducing any potential positive impact. In discussing fatigue countermeasure strategies, drivers talked interchangeably about mitigating task related fatigue (e.g. increasing cognitive load) and sleepiness (e.g. caffeine). Ensuring the concepts of fatigue and sleepiness are properly understood has the potential to maximise safety. © 2016 Elsevier Ltd",Fatigue; Rail safety; Sleep; Train driving,Applied Ergonomics,2017,Journal,Filtness A.J.; Naweed A.,10.1016/j.apergo.2016.10.009
CLAM - A method for cognitive load assessment in manufacturing,"The increasing complexity and demands of assembly operations in manufacturing has been shown to lead to increased cognitive load in assembly workers. Previous work has outlined the complexity of an assembly worker's situation both in terms of difficulty and speed of work and there have been a few attempts at creating frameworks and methods for understanding the key aspects of what creates increased cognitive load. This paper presents a tool for assessing cognitive load in manufacturing, primarily assembly. The paper presents the method and an accompanying tool as well as some insights derived from this method development. The intended contribution of the work is to make a difference in reducing the cognitive load of assembly workers on the shop floor, thus focusing the development on applicability and usability of the tool in practice. © 2017 The authors and IOS Press. All rights reserved.",Assembly; CLAM method; Cognitive load; Manufacturing; Method development,Advances in Transdisciplinary Engineering,2017,Conference,Thorvald P.; Lindblom J.; Andreasson R.,10.3233/978-1-61499-792-4-114
Manufacturing in the wild–viewing human-based assembly through the lens of distributed cognition,"The interdisciplinary field of cognitive science has been and is becoming increasingly central within human factors and ergonomics (HF&E) and, since at the same time, there has long been a call for a more systems perspective in the area with a somewhat wider unit of analysis. This paper argues that the theoretical framework of distributed cognition would greatly benefit the application of HF&E to manufacturing and would offer a more holistic understanding of the interactions between different entities within a greater context, including the social, cultural and materialistic. We aim to characterize and analyse manufacturing as a complex socio-technical system from a distributed cognition perspective; focusing on the use, mediation and integration of different forms of representations, tools and artefacts in this domain. We present illustrative examples from authentic manual assembly, showing the cognitively distributed nature of the work, ranging from scaffolding strategies of the individual worker to the emergent properties of a whole assembly line. The paper further proposes and provides benefits of using a distributed cognition framework as a novel approach in the toolbox for the HF&E discipline, where it may have been found before, but the application to manufacturing has been absent. © 2017 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",DCog; Distributed cognition; human-based assembly; manufacturing; scaffolding; socio-technical systems,Production and Manufacturing Research,2017,Journal,Lindblom J.; Thorvald P.,10.1080/21693277.2017.1322540
The Benefits of Human-centred Design in Industrial Practices: Re-design of Workstations in Pipe Industry,"Sustainable Manufacturing (SM) traditionally focused on optimization of environmental and economic aspects, by neglecting the human performance. However, the industrial plant's costs, productivity and process quality highly depend on the individual human performance (e.g., comfort perceived, physical and mental workload, simplicity of actions, personal satisfaction) and how much hazardous positions and uncomfortable tasks finally cost to the company. The present paper defines a human-centred virtual simulation environment to optimize physical ergonomics in workstation design and demonstrates its benefits on an industrial case study in pipe industry. The proposed environment aims at overcoming traditional approaches, where analysis are carried out at the shop-floor when the plant is already created, by providing a virtual environment to easily test and verify different design solutions to optimize physical, cognitive and organizational ergonomics. © 2017 The Authors",Digital Human Models (DHM); Human-Centred Design (HCD); Manufacturing Ergonomics; Virtual Reality; Workstation design,Procedia Manufacturing,2017,Conference,Peruzzini M.; Carassai S.; Pellicciari M.,10.1016/j.promfg.2017.07.251
Revisiting the technologies of the old: a case study of cognitive work analysis and nanomaterials,"Nanotechnology is bringing about changes in everyday technologies in fundamental ways, both obvious and non-obvious. In order to address nanotechnology, Human Factors and Ergonomics (HFE) as a research discipline requires multiple methods in engaging this novel technology strategically. One mode of engagement is through nanomaterials. Nanomaterials can be addressed by HFE in four significant ways: health and safety; new products and embedding in existing technologies for improved qualities; industrial production; along with, through university laboratory research. The aim of this article is to present one manner of engaging nanomaterials and HFE through addressing nanomaterials as embedded in existing technologies and their involvement in university research laboratories. This aspect of engagement is depicted by addressing the use of nanomaterials in an existing well-entrenched technology of concrete to produce an enhanced product—nanoconcrete. Using the framework of Cognitive Work Analysis (CWA), this article addresses the work domain of nanoconcrete in terms of work practices in university laboratory settings. The models derived from CWA are used to identify the various constraints ranging from the environment to the people involved in the concrete domain. The results emphasize that to address nanomaterials (in this case, nanosilica), one has to comprehend its overarching matrix of the material (concrete) in which it is embedded. While the current article presents just one facet studying the intersection between nanomaterials and HFE, further research can identify new ways in which nanotechnology could be integrated robustly in the disciplinary viewpoint of HFE. © 2016, Springer-Verlag London.",Cognitive Work Analysis (CWA); Ergonomics; Human factors; Nanomaterials; Nanotechnology,"Cognition, Technology and Work",2017,Journal,Kant V.,10.1007/s10111-016-0397-8
IoT & wearable electronics revolutionize electronics manufacturing paradigms,"With all the excitement around IoT (Internet of Things), big data and cognitive computing the impact of wearable electronics on the manufacturing environment frequently gets lost in the noise. However, all of these trends create many new and exciting challenges for the electronics industry, including new design, manufacture, test, and supply chain paradigms. The central role played by sensors, energy storage and energy harvest devices results in altogether revolutionary packaging concerns. Intended for intimate contact with human skin in diverse, often hostile environments such has automobile cabins and seawater, these wearable systems require new yet proven safe and reliable materials as well as highly adaptable manufacturing strategies. This letter explores the seemingly conflicting requirements of achieving low cost while meeting the high volume, high mix product requirements of this brave new world of electronics systems. © 2017 Japan Institute of Electronics Packaging.",,"2017 International Conference on Electronics Packaging, ICEP 2017",2017,Conference,Bauer C.E.; Neuhaus H.J.,10.23919/ICEP.2017.7939381
Perceived production complexity – understanding more than parts of a system,"To successfully manage today’s complex production systems it is essential to study operators’ perception of the system. The paper presents perceived production complexity assessed at seven manufacturing companies with the CompleXity Index (CXI) method. While other methods have measured product variants, layout, work content, tools and information items, CXI combines them into three areas. These three complexity areas (Station design, Work variance and Disturbance handling) help to create an understanding of the complex system by visualising how they contribute to complexity, and show the need to support the operators’ ability to handle the varying work. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",agile manufacturing; cognitive processes; empirical study; managing complexity; perceived production complexity,International Journal of Production Research,2016,Journal,Mattsson S.; Tarrar M.; Fast-Berglund Å.,10.1080/00207543.2016.1154210
A cyber-physical systems approach for controlling autonomous mobile manipulators,"Cognitive robots have started to find their way into manufacturing halls. However, the full potential of these robots can only be exploited through an integration into the automation pyramid so that the system is able to communicate with the manufacturing execution system (MES). Integrating the robot with the MES allows the robot to get access to manufacturing environment and process data so that it can perform its task without human intervention. This paper describe the mobile robotic manipulator developed in the EU project STAMINA, its has been integrated with an existing MES and its application in a kitting task from the automotive industry. © 2016, World Scientific Publishing Co. Pte Ltd. All rights reserved.",Autonomous systems; Cognitive robotics; Knowledge integration; Manufacturing execution system; Planning; Robot skills; Software engineering,"Advances in Cooperative Robotics: Proceedings of the 19th International Conference on Climbing and Walking Robots and the Support Technologies for Mobile Machines, CLAWAR 2016",2016,Conference,Rovida F.; Krueger V.; Nalpantidis L.; Charzoule A.; Lasnier A.; Petrick R.; Crosby M.; Toscano C.; Veiga G.,10.1142/9789813149137_0022
