,Article Title,Authors,Abstract,Volume,Source Title,Publication Year,ISSN,DOI,Source
496,Scheduling controllable processing time jobs with position-dependent workloads,Oron D.,"In various real life applications job processing times are controllable through the allocation of a limited resource. To date research has been conducted under the assumption that the relationship between the amount of resource allocated to a job and its processing time is independent of the number of tasks processed previously. However, there exist many manufacturing and service systems where workers and machines acquire, develop and refine skills through the repetition of identical or similar operations. In this paper we consider a scheduling model where job processing times are a convex function of the amount of resource they are allocated. In addition, we assume that the parameters of this function are position-dependent, i.e., vary with the job's position in the sequence. This assumption reflects general processes of learning or aging, or a combination of both. We first focus on a single machine setting and the makespan and total flowtime criteria. We show that the combined problem of finding an optimal job sequence and an optimal resource allocation can be solved in O(n3) time. We show that our algorithm can be used to address a bicriteria objective comprising of a linear combination of makespan and the total flowtime criteria on a single machine. We then extend the results to a parallel machine setting for the total flowtime criteria. Crown Copyright © 2015 Published by Elsevier B.V. All rights reserved.",173,International Journal of Production Economics,2016,09255273,10.1016/j.ijpe.2015.12.014,SCO
497,Design and Experimental Evaluation of a Semi-Passive Upper-Limb Exoskeleton for Workers with Motorized Tuning of Assistance,Grazi L.; Trigili E.; Proface G.; Giovacchini F.; Crea S.; Vitiello N.,"This article presents the H-PULSE, a novel semi-passive upper-limb exoskeleton for worker assistance, with motorized tuning of the assistive level. The H-PULSE presents novel design features compared to other passive industrial exoskeletons for the upper limbs, namely joint angle sensors for measuring shoulder flexion/extension and a novel active mechanism for regulating the assistance level. These features could enhance the effectiveness of the system. Along with the presentation of the exoskeleton design, this article reports on the system experimental evaluation with human subjects. The H-PULSE was assessed in prolonged static overhead tasks under different conditions of assistive support. The set of metrics to evaluate the effects of the device included shoulder muscular activity, heart rate, and subjective user feedback. Results show that the exoskeleton can reduce the users' muscular activity and the heart rate. Subjective questionnaires allowed the assessment of perceived exoskeleton effectiveness. In this study, the H-PULSE exoskeleton was found to be potentially effective in reducing the muscular strain while reducing the global fatigue level during prolonged continuous overhead activities.  © 2020 IEEE.",28,IEEE Transactions on Neural Systems and Rehabilitation Engineering,2020,15344320,10.1109/TNSRE.2020.3014408,SCO
498,WebAR as a Mediation Tool Focused on Reading and Understanding of Technical Drawings Regarding Tailor-Made Projects for the Scenographic Industry,Lôbo J.E.A.; Correia W.F.M.; Teixeira J.M.; Siqueira J.E.D.M.; Roberto R.A.,"Among the leading immersive technologies, augmented reality is one of the most promising and empowering for supporting designers in production environments. This research investigates the application of mobile augmented reality, based on the Web, as a mediation tool focused on cognitive activities of reading and understanding of technical drawings in the production and assembly of tailor-made projects of the scenographic industry. In this context, the research presents a method to use WebAR to improve the reading of technical drawings, seeking efficiency in the visualization of models and the exchange of information between professionals involved in the processes of design, production, and assembly of products, in the scope of scenography. This mediation tool was developed using Web AR platforms, compatible with native libraries (ARCore and ARKit) to ensure, first, compatibility with commonly used devices that workers or businesses can access, and second, to leverage hybrid tracking techniques that combine vision and sensors to improve the reliability of augmented reality viewing. The proposed solution adopts multiple tracking and navigation techniques in order to expand Space Skills components to provide greater exploratory freedom to users. The research process took place in light of the Design Science Research Methodology and the DSR-Model, since it aimed to develop a solution to a practical problem, as well as to produce knowledge from this process. Field experiments were conducted in two real companies, with end users on their respective mobile devices, in order to evaluate usability and behavioral intent, through the Acceptance, Intent, and Use of Technology questionnaires and perceived mental workload, NASA-TLX. The experimental results show that the adoption of this tool reduces the cognitive load in the process of reading technical drawings and project understanding. In general, its usability and intent to use provided significant levels of satisfaction, being positively accepted by all participants involved in the study. © 2023 by the authors.",13,Applied Sciences (Switzerland),2023,20763417,10.3390/app132212295,SCO
499,How Resilient are Lucid Motivators? Endeavoring Reforms for Effects of Psycho-social Factors on Workers Health Through Concurrent Engineering,Yılmaz Kaya B.; Kılıç Delice E.,"Background: As the tremendous impact of extreme workloads, arduous working conditions, and disorganization disrupt humane job definitions in some industries, the need for workplace re-articulation was interfered to ameliorate psycho-social factors and suggest organizational intervention strategies. Especially for colossally wounded health-care (HC) systems, today it is now even more unrealizable to retain workforce resilience considering the immense impact of overwhelming working conditions. Methods: This study introduces employment of concurrent engineering tools to re-design humane workplaces annihilating abatement over devoured resources. The study handles HC-workforce resilience in a pioneering motive to introduce transformation of well-known motivators and proposes solutions for retention and resilience issues grounding on HC workers’ own voice. Results: The proposed adjustable approach introduces integral use of focus group studies, SWARA, and QFD methods, and was practiced on a real-world case regarding Turkish HC workforce. The paper also presents widespread effects of findings by tendering generalized psycho-social rehabilitation strategies. Results confirmed the modifications of the most potent incessant motivators. Conclusion: “Burn out issues” and “Challenging work” were found as the most important motivator and satisfier, respectively, to be exigently fulfilled. Corrective interventions, required resolutions, and workplace articulation connotations were arbitrated in terms of entire outcomes on four dimensions in three different planning periods considering the current status, repercussions of pandemic, and contingency of similar catastrophes. Descriptive illustrations were additionally presented to support deducted interpretations. © 2024 Occupational Safety and Health Research Institute",15,Safety and Health at Work,2024,20937911,10.1016/j.shaw.2024.05.003,SCO
500,"Evaluation of Work Performance, Task Load, and Behavior Changes on Time-Delayed Teleoperation Tasks in Space Construction",Seo M.; Gupta S.; Ham Y.,"A robust teleoperation system has the potential to play a key role in mission tasks relevant to construction in a physically challenging environment. Here, the communication delay generated by long-distance and data transmission in teleoperation systems impacts human-robot interactions and work performances during the teleoperation. There is a need for more understanding of how time delay affects performance in construction activities and human operators' abilities, such as situational awareness and mental workload. This exploratory study aims to provide knowledge on the latency impacts on work performance and task load by measuring and evaluating the relevant human factors. Participants conduct construction tasks under time-delayed conditions in virtual reality environments. We assess the performance (i.e., completion time, success rate) and task load (i.e., mental demand, frustration) and observe manipulation behavior changes to evaluate the relationship between time delay and human factors during construction work. This paper contributes to exploring the signal latency by long-distance teleoperation and assesses its impacts on work performance, task load, and behavior changes while performing construction tasks. © 2024 ASCE.",1,"Construction Research Congress 2024, CRC 2024",2024,,10.1061/9780784485262.010,SCO
501,AMFP-net: Adaptive multi-scale feature pyramid network for diagnosis of pneumoconiosis from chest X-ray images,Alam M.S.; Wang D.; Sowmya A.,"Early detection of pneumoconiosis by routine health screening of workers in the mining industry is critical for preventing the progression of this incurable disease. Automated pneumoconiosis classification in chest X-ray images is challenging due to the low contrast of opacities, inter-class similarity, intra-class variation and the existence of artifacts. Compared to traditional methods, convolutional neural networks have shown significant improvement in pneumoconiosis classification tasks, however, accurate classification remains challenging due to mainly the inability to focus on semantically meaningful lesion opacities. Most existing networks focus on high level abstract information and ignore low level detailed object information. Different from natural images where an object occupies large space, the classification of pneumoconiosis depends on the density of small opacities inside the lung. To address this issue, we propose a novel two-stage adaptive multi-scale feature pyramid network called AMFP-Net for the diagnosis of pneumoconiosis from chest X-rays. The proposed model consists of 1) an adaptive multi-scale context block to extract rich contextual and discriminative information and 2) a weighted feature fusion module to effectively combine low level detailed and high level global semantic information. This two-stage network first segments the lungs to focus more on relevant regions by excluding irrelevant parts of the image, and then utilises the segmented lungs to classify pneumoconiosis into different categories. Extensive experiments on public and private datasets demonstrate that the proposed approach can outperform state-of-the-art methods for both segmentation and classification. © 2024 The Author(s)",154,Artificial Intelligence in Medicine,2024,09333657,10.1016/j.artmed.2024.102917,SCO
502,An overview of current capabilities and research activities in the airspace operations laboratory at NASA ames research center,Prevot T.; Smith N.; Palmer E.; Callantine T.; Lee P.; Mercer J.; Homola J.; Martin L.; Brasil C.; Cabrall C.,"The Airspace Operations Laboratory at NASA Ames conducts research to provide a better understanding of roles, responsibilities, and requirements for human operators and automation in future air traffic management (ATM) systems. The research encompasses developing, evaluating, and integrating operational concepts and technologies for near-, mid-, and far-term air traffic operations. Current research threads include efficient arrival operations, function allocation in separation assurance and efficient airspace and trajectory management. The AOL has developed powerful air traffic simulation capabilities, most notably the Multi Aircraft Control System (MACS) that is used for many air traffic control simulations at NASA and its partners in government, academia and industry. Several additional NASA technologies have been integrated with the AOL's primary simulation capabilities where appropriate. Using this environment, large and small-scale system-level evaluations can be conducted to help make near-term improvements and transition NASA technologies to the FAA, such as the technologies developed under NASA's Air Traffic Management Demonstration-1 (ATD-1). The AOL's rapid prototyping and flexible simulation capabilities have proven a highly effective environment to progress the initiation of trajectory-based operations and support the mid-term implementation of NextGen. Fundamental questions about accuracy requirements have been investigated as well as real-world problems on how to improve operations in some of the most complex airspaces in the US. This includes using advanced trajectory-based operations and prototype tools for coordinating arrivals to converging runways at Newark airport and coordinating departures and arrivals in the San Francisco and the New York metro areas. Looking beyond NextGen, the AOL has started exploring hybrid human/automation control strategies as well as highly autonomous operations in the air traffic control domain. Initial results indicate improved capacity, low operator workload, good situation awareness and acceptability for controllers teaming with autonomous air traffic systems. While much research and development needs to be conducted to make such concepts a reality, these approaches have the potential to truly transform the airspace system towards increased mobility, safe and efficient growth in global operations and enabling many of the new vehicles and operations that are expected over the next decades. This paper describes how the AOL currently contributes to the ongoing air transportation transformation.",,"AIAA AVIATION 2014 -14th AIAA Aviation Technology, Integration, and Operations Conference",2014,,10.2514/6.2014-2860,SCO
503,CAPACITY BUILDING: LEARNING FROM CORPORATE SUCCESSES OUTSIDE CONSTRUCTION,Mossman A.; Ramalingam S.,"Industrialization is a response to low productivity and shortage of skilled labour. Advancement in technology is associated with the growing trend. Thus, industrialisation requires upskilling the whole workforce – literacy, numeracy, technical and trade skills. This crisis is exacerbated by the casualization of construction labor over the last ~60 years which means construction companies do not see it as in their interest to upskill those they do not employ. Even though “with every pair of hands comes a free brain” (Henry Ford), the construction sector seems to find it acceptable to do little or nothing to use and develop those brains, to tap into this unused talent. Motivated by these insights, we ask, what can we learn from corporate success outside construction that might help improve industrialised project delivery in construction? This qualitative exploratory analysis of successful major transformations in other sectors uses selective literature review, categorical aggregation of case studies and inductive reasoning. The findings underscore the importance of leaders with ‘constancy of purpose’ driving system change in order to build the capacity and competence of workers. In construction this may mean decasualising labour which will require the creation of pipelines of work to ensure a steady workload. The paper concludes with suggestions for further research and validation in the field. © 2022 30th Annual Conference of the International Group for Lean Construction, IGLC 2022. All rights reserved.",,"30th Annual Conference of the International Group for Lean Construction, IGLC 2022",2022,,10.24928/2022/0209,SCO
504,Cloud Native Applications Profiling using a Graph Neural Networks Approach,Boukhtouta A.; Madi T.; Pourzandi M.; Hyame Alameddine A.,"The convergence of Telecommunication and industry operational networks towards cloud native applications has enabled the idea to integrate protection layers to harden security posture and management of cloud native based deployments. In this paper, we propose a data-driven approach to support detection of anomalies in cloud native application based on a graph neural network. The essence of the profiling relies on capturing interactions between different perspectives in cloud native applications through a network dependency graph and transforming it to a computational graph neural network. The latter is used to profile different deployed assets like micro-service types, workloads' namespaces, worker machines, management and orchestration machines as well as clusters. As a first phase of the profiling, we consider a fine-grained profiling on microservice types with an emphasis on network traffic indicators. These indicators are collected on distributed Kubernetes (K8S) deployment premises. Experimental results shows good trade-off in terms of accuracy and recall with respect to micro-service types profiling (around 96%). In addition, we used predictions entropy scores to infer anomalies in testing data. These scores allow to segregate between benign and anomalous graphs, where we identified 19 out of 23 anomalies. Moreover, by using entropy scores, we can conduct a root cause analysis to infer problematic micro-services.  © 2022 IEEE.",,"Proceedings - 2022 IEEE Future Networks World Forum, FNWF 2022",2022,,10.1109/FNWF55208.2022.00046,SCO
505,Board 164: Engineering Interventions in My Science Classroom: What's My Role?,Carrico C.; Matusovich H.M.; Bhaduri S.,"This work in progress paper draws on data from year one of a multi-year project aimed at integrating engineering into middle-school science classes. The expectation that middle school teachers integrate engineering into their science curriculum may be challenging as engineering-related content has not historically been part of teacher preparation. Particularly in rural areas, in-service teacher training related to engineering may be absent or difficult to access due to proximity or financial or time costs. Therefore, it is important to develop effective professional development (PD) that works within the actual teaching context and makes few demands on teachers beyond their regular workload. In partnership with teachers and local industry workers in rural and Appalachian areas, the Virginia Tech Partnering with Educators and Engineers in Rural Schools (VT-PEERS) project developed extended classroom engineering activities for students that also served as teacher PD related to teaching engineering in locally relevant ways. As part of this work, a qualitative analysis was conducted to understand how teachers, from their perspectives, envisioned their role during the interventions. Data were collected prior to and after interventions (within an academic year) to further understand if, and if so, how, teacher perspectives of their role changed. Results reveal three initial roles; classroom manager, learner, helper, and unsure. The post intervention data revealed all teachers indicated being a “learner”. © American Society for Engineering Education, 2023.",,"ASEE Annual Conference and Exposition, Conference Proceedings",2023,21535965,,SCO
506,Deep learning-based smart task assistance in wearable augmented reality,Park K.-B.; Kim M.; Choi S.H.; Lee J.Y.,"Wearable augmented reality (AR) smart glasses have been utilized in various applications such as training, maintenance, and collaboration. However, most previous research on wearable AR technology did not effectively supported situation-aware task assistance because of AR marker-based static visualization and registration. In this study, a smart and user-centric task assistance method is proposed, which combines deep learning-based object detection and instance segmentation with wearable AR technology to provide more effective visual guidance with less cognitive load. In particular, instance segmentation using the Mask R-CNN and markerless AR are combined to overlay the 3D spatial mapping of an actual object onto its surrounding real environment. In addition, 3D spatial information with instance segmentation is used to provide 3D task guidance and navigation, which helps the user to more easily identify and understand physical objects while moving around in the physical environment. Furthermore, 2.5D or 3D replicas support the 3D annotation and collaboration between different workers without predefined 3D models. Therefore, the user can perform more realistic manufacturing tasks in dynamic environments. To verify the usability and usefulness of the proposed method, we performed quantitative and qualitative analyses by conducting two user studies: 1) matching a virtual object to a real object in a real environment, and 2) performing a realistic task, that is, the maintenance and inspection of a 3D printer. We also implemented several viable applications supporting task assistance using the proposed deep learning-based task assistance in wearable AR. © 2019 Elsevier Ltd",63,Robotics and Computer-Integrated Manufacturing,2020,07365845,10.1016/j.rcim.2019.101887,SCO
507,SLA-based adaptation schemes in distributed stream processing engines,Hanif M.; Kim E.; Helal S.; Lee C.,"With the upswing in the volume of data, information online, and magnanimous cloud applications, big data analytics becomes mainstream in the research communities in the industry as well as in the scholarly world. This prompted the emergence and development of real-time distributed stream processing frameworks, such as Flink, Storm, Spark, and Samza. These frameworks endorse complex queries on streaming data to be distributed across multiple worker nodes in a cluster. Few of these stream processing frameworks provides fundamental support for controlling the latency and throughput of the system as well as the correctness of the results. However, none has the ability to handle them on the fly at runtime. We present a well-informed and efficient adaptive watermarking and dynamic buffering timeout mechanism for the distributed streaming frameworks. It is designed to increase the overall throughput of the system by making the watermarks adaptive towards the stream of incoming workload, and scale the buffering timeout dynamically for each task tracker on the fly while maintaining the Service Level Agreement (SLA)-based end-to-end latency of the system. This work focuses on tuning the parameters of the system (such as window correctness, buffering timeout, and so on) based on the prediction of incoming workloads and assesses whether a given workload will breach an SLA using output metrics including latency, throughput, and correctness of both intermediate and final results. We used Apache Flink as our testbed distributed processing engine for this work. However, the proposed mechanism can be applied to other streaming frameworks as well. Our results on the testbed model indicate that the proposed system outperforms the status quo of stream processing. With the inclusion of learning models like naïve Bayes, multilayer perceptron (MLP), and sequential minimal optimization (SMO)., the system shows more progress in terms of keeping the SLA intact as well as quality of service (QoS). © 2019 by the authors.",9,Applied Sciences (Switzerland),2019,20763417,10.3390/app9061045,SCO
508,Risk factors associated with self-reported musculoskeletal pain among short and long distance industrial gas delivery truck drivers,Sekkay F.; Imbeau D.; Chinniah Y.; Dubé P.-A.; de Marcellis-Warin N.; Beauregard N.; Trépanier M.,"Aim: This study investigated and compared the associations between self-reported exposures to individual as well as work-related physical and psychosocial risk factors for musculoskeletal (MS) disorders and the prevalence of MS symptoms in different body areas among short- (P&D) and long-distance (Bulk delivery) truck drivers working for the same large gas delivery company in Canada. Methods: 123 truck drivers nationwide participated in this questionnaire-based cross-sectional study. Univariate and multivariate logistic regression analyses were performed. Results: 43.1% of drivers reported MS pain in at least one body area over the past 12 months and 26.8% over the past 7 days. Bulk drivers had a significantly higher prevalence of MS pain than P&D drivers for both periods. When P&D and Bulk drivers were pooled together, belonging to the Bulk subgroup emerged as the strongest factor for low back pain (OR = 8.45, p = 0.002), for shoulder pain (OR = 3.70, p = 0.027) and for MS pain in any body area (OR = 4.05, p = 0.006). In Bulk drivers “High effort-reward imbalance” was strongly associated with MS pain in any body area (OR = 6.47, p = 0.01), with shoulder pain (OR = 4.95, p = 0.016), and with low back pain (OR = 4.51, p = 0.02). In P&D drivers MS pain in any body area was strongly associated with “Working with hands above shoulders” (OR = 6.58, p = 0.009) and “Whole-body vibration” (OR = 5.48, p = 0.018), while shoulder pain was strongly associated with “Hand-arm vibration” (OR = 7.27, p = 0.041). Conclusions: Prevalence of MS pain was higher among industrial gas delivery truck drivers than in the general Quebec male worker population, and higher for Bulk drivers compared to P&D drivers. MS pain in Bulk drivers was mainly associated with psychosocial risk factors and lifestyle; MS pain in P&D drivers was mainly associated with physical risk factors. © 2018 Elsevier Ltd",72,Applied Ergonomics,2018,00036870,10.1016/j.apergo.2018.05.005,SCO
509,A novel link failure detection and switching algorithm for dissimilar redundant UAV communication,"Lau Y.H.; Ang M.H., Jr.","Unmanned Aerial Vehicles (UAVs) used for humanitarian applications require simple, accessible and reliable components. For example, a communication system between UAV and the Ground Control Station (GCS) is essential in order to monitor UAV status; various communication protocols are available in the industry. Such systems must be simple for non-technical personnel (e.g., healthcare workers) to operate. In this study, a novel link failure detection and switching algorithm was proposed for a dissimilar redundant UAV communication system designed for longrange vaccine delivery in rural areas. The algorithm would ease the workload of the operators and address a research gap in the design of such algorithms. A two-layer design is proposed: A baseline layer using the heartbeat method, and optimisations to speed up local failure detection. To dynamically tune the heartbeat timeout for the algorithm’s baseline without intervention from ground operators, the modified Jacobson’s algorithm was used. Lab simulations found that the algorithm was generally accurate in converging to an optimal value, but has less satisfactory performance at poor or unpredictable connectivity, or when link switches get triggered frequently. Improvements have been suggested for the algorithm. This study contributes to ongoing research on ensuring reliable UAV communication for humanitarian purposes. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",5,Drones,2021,2504446X,10.3390/drones5020048,SCO
510,Effects of psychosocial work characteristics on hair cortisol–findings from a post-trial study,Herr R.M.; Barrech A.; Gündel H.; Lang J.; Quinete N.S.; Angerer P.; Li J.,"Prolonged work stress, as indicated by the effort-reward imbalance (ERI) model, jeopardizes health. Cortisol represents a candidate mechanism connecting stress to ill health. However, previous findings appear inconclusive, and recommendations were made to assess work stress at multiple time points and also to investigate ERI (sub-)components. This study therefore examines the effects of two single time points, as well as the mean and change scores between time points of ERI and its components on hair cortisol concentration (HCC), a long-term cortisol measurement. Participants were 66 male factory workers (age: 40.68 ± 6.74 years; HCC: 9.00 ± 7.11 pg/mg), who were followed up after a stress management intervention (2006–2008). In 2008 (T1) and 2015 (T2), participants completed a 23-item ERI questionnaire, assessing effort, the three reward components (esteem, job security, job promotion) and over-commitment. In 2015, participants also provided a 3-cm hair segment close to the scalp for HCC analysis, as well as information on relevant confounders (i.e. medication intake, age, work characteristics, socioeconomic and lifestyle factors, number of stressful life events). Linear regressions revealed hardly any cross-sectional or longitudinal effect of ERI and its components on HCC. Only the change scores between T1 and T2 of job security were negatively associated with lower HCC in unadjusted (β = −.320; p =.009) and adjusted (β = −.288; p =.044) models. In this study, only a decrease of perceived job security over time was significantly associated with higher HCC, and other predictors were not related to this outcome. Especially after correction for multiple testing, this study revealed just a weak association of different psychosocial work measurements with HCC. Lay summary This study showed that an increase in perceived job insecurity is correlated with higher levels of the stress hormone cortisol. The higher levels of cortisol might represent a biological explanation for the negative health effects of job insecurity. The association was, however, relatively low, and more and more voices are questioning whether cortisol in hair is a reliable marker for perceived work stress. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",20,Stress,2017,10253890,10.1080/10253890.2017.1340452,SCO
511,Effectiveness of communication of spatial engineering information through 3D CAD and 3D printed models,Dadi G.B.; Goodrum P.M.; Taylor T.R.; Maloney W.F.,"Background: Poor engineering information provided to construction crews results in inefficient communication of design, leading to construction rework, disputes, and lower worker morale. The resulting errors, omissions, and misinterpretations indicates that a significant opportunity exists to improve the traditional documentation of engineering information that craft professionals use to complete their work. Historically, physical three dimensional (3D) models built by hand provided 3D physical representations of the project to assist in sequencing, visualization, and planning of critical construction activities. This practice has greatly diminished since the adoption of three dimensional CAD (computer-aided design) and BIM (building information modeling) technologies. Recently, additive manufacturing technologies have allowed for three dimensional printing of 3D CAD models. Methods: The effectiveness of 2D drawings, a 3D computer model, and a 3D printed model in delivering engineering information to an end-user are scientifically measured. Results: The 3D printed model outperformed the 2D drawings and 3D computer interface in productivity and workload measures. Conclusions: A physical model has the ability to improve communication of spatial design for certain tasks. This could lead to improved productivity, reduction of errors, and better quality for construction tasks. This paper's primary contribution to the body of knowledge is that it identifies how different mediums of engineering information impact the communication of spatial engineering information. © 2014, Dadi et al.; licensee Springer.",2,Visualization in Engineering,2014,22137459,10.1186/s40327-014-0009-8,SCO
512,An adaptive SLA-based data flow mechanism for stream processing engines,Hanif M.; Yoon H.; Jang S.; Lee C.,"With the upsurge in the volume of data and profuse cloud applications, big data analytics becomes very popular in the research communities in industry as well as in academia. This led to the emergence of real-Time distributed stream processing systems such as Flink, Storm, Spark, and Samza. These systems sanction complex queries on streaming data to be distributed across multiple worker nodes in a cluster. Some of the stream processing systems provide basic supports for controlling the latency and throughput of the system as well as correctness of the results. We present an intelligent and efficient adaptive watermarking and dynamic buffering timeout mechanism for modern distributed stream processing engines. It is designed to increase the overall throughput by making the watermarks of the system adaptive according to incoming workload streams, and dynamically scale the buffering timeout for every task tracker on the fly while maintaining the SLA-based end-To-end latency of the system. Apache Flink is used as testing distributed processing engine in the paper. However, the proposed mechanism can be applied to other streaming frameworks. Our preliminary results indicate that the proposed system outperforms the existing stream processing framework. © 2017 IEEE.",2017-December,"International Conference on Information and Communication Technology Convergence: ICT Convergence Technologies Leading the Fourth Industrial Revolution, ICTC 2017",2017,,10.1109/ICTC.2017.8190947,SCO
513,Lidar Based Autonomously Navigating Robot,Hakkim F.; Rasheed H.; Varsha M.C.; Amal K.A.; Minimol B.,"Automation is revolutionising many industries, including healthcare. Autonomous vehicles are now more or less a reality. In the current clinical scenario, the role of automated vehicles has increased the efficiency and reliable transport of commodities to desired places. Automated systems are preferred as risk of transmission of highly infectious diseases are reduced. It also reduces wastage of human resources, thus saving time. The main aim of the work, LiDAR BASED AUTONOMOUSLY NAVIGATING ROBOT is to build an automated trolley to deliver medicines and necessary items to patients inwards without direct contact between patients and health care workers. It has innumerous benefits in geriatric healthcare. It can reduce the risk of falls and injuries by minimising the need for elderly patients to move around the hospital or care facility. The timely delivery of medicines and meals can be ensured, minimising missed doses or delayed meals. The robot can also help relieve the workload of nursing staff, allowing them to focus on direct patient care. Additionally, the robot's autonomous navigation can be programmed to avoid obstacles and adapt to changing environments, making it a safe and reliable option for elderly patients. The use of LiDAR technology can also enable the robot to accurately detect and navigate around obstacles, making it a valuable tool for ensuring patient safety. The trolley utilises a LiDAR for mapping as well as obstacle detection and raspberry pi for processing information obtained from LiDAR, Arduino Mega for controlling the movement of wheels and a motor driver for controlling the speed of trolley. The automated trolley proposed in this work will bring an elevating change in the healthcare sector. © 2024 IEEE.",,"2024 1st International Conference on Trends in Engineering Systems and Technologies, ICTEST 2024",2024,,10.1109/ICTEST60614.2024.10576127,SCO
514,Evaluating the training transfer of Head-Mounted Display based training for assembly tasks,Werrlich S.; Nguyen P.-A.; Notni G.,"The automotive industry is growing constantly and more and more assembly workers are needed to negotiate the production volume. The training of new employees is essential to ensure premium quality products and processes. New technologies for training such as head-mounted displays (HMDs) receive a growing amount of attention by the scientific community, especially in the industrial domain. Due to its possibility to work hands-free while providing users with necessary augmented information, HMDs can enhance the quality and efficiency of assembly training tasks. However, comprehensive evaluations in industrial environments regarding the training transfer using augmented reality (AR) technologies are still very limited. In this paper, we aim to close this gap by conducting a user study with two groups and 30 participants, measuring the training transfer. We compare the effects of two slightly different HMD-based training applications. The first group complete a tutorial, beginner, intermediate and expert training level, while the second group received an additional quiz level. Results show that group two needed 17% more time to complete the training but made 79% less sequence mistakes compared to the first group. Additionally, we compare the user satisfaction by using the system usability scale (SUS) and the perceived workload by measuring the NASA-TLX. © 2018 Association for Computing Machinery.",,ACM International Conference Proceeding Series,2018,,10.1145/3197768.3201564,SCO
515,Software project task scheduling based on hybrid ABC-GA algorithm,Vidya Sagar P.; Geethanjali N.,"In the profoundly aggressive programming industry software project scheduling issue is one of the testing issues confronted by the software project directors. Distinctive programming project undertakings oblige representatives with diverse abilities, and aptitude capability of workers assumes the real part in the effectiveness of task execution. Thus, human asset distribution has turned into an essential part in software task scheduling. The essential target of our work is to create a pragmatic and successful methodology for the task scheduling and human resource allocation issue in software project planning with Hybrid ABC-GA algorithm. Artificial Bee Colony (ABC) algorithm has been broadly actualized in a different types of optimization problem, for example, job shop scheduling, constraint optimization issues, complex numerical optimization issues, and mathematical function issues. Be that as it may, the convergence speed of ABC is relatively less. Subsequently with the assistance of Genetic algorithm (GA) strategy, a mechanized methodology has been proposed in this work and is named as the Hybrid ABC-GA optimization algorithm. The features utilized here are representation plan. It is made out of a task list and a planned employee allocation matrix. The task list characterizes the priorities of tasks to allocation resources. The allocation matrix points out the initially planned workload assignments. Henceforth the representation scheme considers both the issues of task scheduling and resource allocation into account. The performance of the representation plan with the hybrid ABC-GA will be examined with existing methodologies and the productivity of our proposed work will be demonstrated as far as expense and intricacy. The proposed technique will be executed in JAVA. © Research India Publications.",9,International Journal of Applied Engineering Research,2014,09734562,,SCO
516,"Physiological Workload of Hill Farm Women of Meghalaya, India Involved in Firewood Collection",Borah S.,"Women are not only carriers of human race but civilization and sustainable development rest on them. Their role is quietly appreciated without economic recognition, regard and accountability. The household activities farm women of Meghalaya do are labour intensive, time consuming, arduous, monotonous, repetitive, manual and within economic return resulting in fatigue and drudgery. This study was conducted to determine the perceived physiological exertion, physiological responses and musculoskeletal problem while doing the activity of firewood collection. The subject included forty tribal women of West Garo Hill of Meghalaya within the age group of 20 to 50 years having the average BMI of 21.74, Lean body mass 31.99 kg., fat weight 12.59 kg., VO2 max. 25.59 ml/kg/min and grip strength of 28.59 kg. While doing the activity average heart rate, energy expenditure, total cardiac cost of work and physiological cost of work were 129.67 bpm, 11.90 kj/min, 8529.59 beats and 47.92 ppm, respectively. The cardiovascular stress index was quite high (47.25) in comparison to many workers involved in factory activities. Perceived physical exertion was rated by farm women as “heavy to very heavy”. Incidences of musculoskeletal problem were also very high as farm women reported that they had severe to very severe pain in upper and lower back, neck, head, arm, wrist and fingers. © 2015 The Authors",3,Procedia Manufacturing,2015,23519789,10.1016/j.promfg.2015.07.648,SCO
517,On different pages? More dangerous than a papercut: Implications of incongruence between leader and member safety climate perceptions,Lee J.; Sylvara A.; Choi J.; Lee S.,"The present study examined the presence of a gap between leaders’ and members’ safety climate perceptions in South Korean chemical companies. Also, it examined how this gap relates to workplace safety and organizational attitudes at the work-unit level by endorsing the notion that the psychological contract theory is an appropriate approach to understanding incongruence in safety climate perceptions. Paired t-test and response surface analysis were conducted using the sample of 4,978 organizational members nested within 122 work-units. Leaders reported significantly higher safety climate perceptions than members. When safety climate perceptions between leaders and members were significantly different, safety compliance behavior was low and injury rates, cynicism, and turnover intentions were greater. Incongruence in safety climate might compromise organizational safety and foster negative organizational attitude. Also, when safety climate perceptions of leaders and members were both high, then safety compliance behavior was high and cynicism was lower suggesting that convergent thinking regarding safety climate amongst leaders and members can be beneficial. The present study demonstrated the importance of monitoring and addressing the gap between leaders’ and members’ safety climate perceptions in hazardous industries. © 2023 Elsevier Ltd",163,Safety Science,2023,09257535,10.1016/j.ssci.2023.106111,SCO
