,Title,Abstract,Authors,Keywords,DOI,ISSN,Publication Year
340,Exploring augmented reality for worker assistance versus training,"This paper aims at advancing the fundamental understanding of the affordances of Augmented Reality (AR) as a workplace-based learning and training technology in supporting manual or semi-automated manufacturing tasks that involve both complex manipulation and reasoning. Between-subject laboratory experiments involving 20 participants are conducted on a real-life electro-mechanical assembly task to investigate the impacts of various modes of information delivery through AR compared to traditional training methods on task efficiency, number of errors, learning, independence, and cognitive load. The AR application is developed in Unity and deployed on HoloLens 2 headsets. Interviews with experts from industry and academia are also conducted to create new insights into the affordances of AR as a training versus assistive tool for manufacturing workers, as well as the need for intelligent mechanisms that enable adaptive and personalized interactions between workers and AR. The findings indicate that despite comparable performance between the AR and control groups in terms of task completion time, learning curve, and independence from instructions, AR dramatically decreases the number of errors compared to traditional instruction, which is sustained after the AR support is removed. Several insights drawn from the experiments and expert interviews are discussed to inform the design of future AR technologies for both training and assisting incumbent and future manufacturing workers on complex manipulation and reasoning tasks. © 2021 Elsevier Ltd",Moghaddam M.; Wilson N.C.; Modestino A.S.; Jona K.; Marsella S.C.,Augmented reality; Electro-mechanical assembly; Workforce training; Workplace-based learning; Augmented reality; Manufacture; Automated Manufacturing; Information delivery; Intelligent mechanisms; Laboratory experiments; Learning and training; Manufacturing workers; Task completion time; Traditional instruction; Engineering education,10.1016/j.aei.2021.101410,14740346,2021
341,Characteristic analysis of elderly workers in human-centric production systems using real observations and simulated constraints,"Owing to the growing number of elderly workers in developed countries, the age-friendly design of production systems is crucial for the success of human-centric manufacturing. To obtain knowledge for designing age-friendly production systems, this study conducted the first characteristic analysis of elderly workers, focusing on the set parts supply process. By combining motion analysis with the subjective mental workload survey, this study clarified the differences in how tasks are performed by elderly and young workers and how such differences affect the mental workload of elderly workers. The findings enable evidence-based design and implementation of age-friendly production systems. © 2023 CIRP",Kondoh S.; Hayakawa K.,Elderly workers; Ergonomics; Human aspect; Age-friendly; Characteristics analysis; Design of production systems; Developed countries; Elderly worker; Human aspects; Human-centric; Mental workload; Production system; Workers'; Ergonomics,10.1016/j.cirp.2023.04.028,00078506,2023
342,Balancing of manual reconfigurable assembly systems with learning and forgetting effects,"Within the paradigm of Industry 4.0, digital reconfigurable manufacturing and assembly systems can rapidly adapt to dynamic market demand, modifying their capacity and functionality. In manual or hybrid reconfigurable assembly systems, the rapid and frequent variations in the performed tasks subject workers to a significant cognitive load, making relevant the learning-forgetting phenomenon. In fact, the operators carry out the assigned activities for a short time before a reconfiguration of the system takes place, assigning them tasks often different from those just performed. This paper aims at investigating how the tasks’ execution time varies for operators working along a reconfigurable assembly line, depending on the learning forgetting effect. We applied a Kottas-Lau algorithm, considering the expected execution times updated according to a learning-forgetting curve. A numerical example, considering with five successive reconfigurations, allows to analyse the expected execution time trend for each operator-task pair and the variation in costs obtained as the operators learning rate and the variability of the operations change. Copyright © 2020 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.",Butturi M.A.; Lolli F.; Menini C.,Learning-forgetting curves; Line balancing; Reconfigurable assembly systems; Assembly machines; Balancing; Cognitive systems; Customer satisfaction; E-learning; Learning systems; Numerical methods; Riveting; Dynamic market; Expected execution time; Forgetting curve; Learning and forgetting effects; Learning-forgetting curve; Line balancing; Market demand; Reconfigurable assembly systems; Reconfigurable manufacturing system; Workers'; Assembly,10.5220/0010174901240131,21849285,2020
343,Multi-assistance systems in manufacturing - a user study evaluating multi-criteria impact in a high-mix low-volume assembly setting,"Understanding how skilled workers interact with assistance systems in manufacturing and how they experience the factory environment is fundamental to modeling human interaction and optimizing the processes correctly. This paper investigates humans’ behaviors and perceived experiences while interacting with cognitive and physical assistance systems. To enable decisions about the combined use of more than one assistance system within a manufacturing process, comprehensive and comparable knowledge about the impact of applications on productivity and human factors is needed. A multidimensional evaluation model with a mixed-methods approach was developed and applied in a user study. In 300 run-throughs in six different scenarios with skilled workers and students, a questionnaire on human factors was completed after finishing the task. Furthermore, productivity and quality were measured during the study. A comparison between skilled workers and students demonstrated that the usability score of all assistance systems was rated higher among the students. The students rated the ergonomics aspects better for five out of six scenarios. Results show higher compatibility with values and experiences in all investigated combinations for skilled workers than for students. Considering the collected data among the skilled workers, the overall compatibility with experience and values of multi-assistance system scenarios was more positive than in the single-assistance system scenarios. Our results show no significant differences in ergonomics, mental, physical, and temporal workload between single and multi-assistance system settings. With 150 run-throughs of industrial professionals and campus recruits each, the survey joins only two studies with more than 100 participants. To the authors' knowledge, it is the first systematic multi-criteria evaluation for the combined use of several (cognitive and physical) industrial assistance systems. The results help to ease practitioners’ evaluation of technical support systems in manufacturing with an emphasis on multi-criteria evaluation and the consideration of interconnected (cognitive and physical) assistance systems. Furthermore, the results contribute to further research in human–machine interaction and its impact on productivity and human factors as they show potentials and prospective challenges of the implementation and application of multiple assistance systems. © 2023 The Author(s)",Zigart T.; Zafari S.; Stürzl F.; Kiesewetter R.; Kasparick H.-P.; Schlund S.,Assistance systems; Human factors; Manufacturing; Multi-criteria evaluation; User study; Cognitive systems; Ergonomics; Assistance system; High-mix/low volumes; Manufacturing; Multi-criteria; Multi-criteria evaluation; Multi-Criterion; Multi-criterion evaluation; Skilled workers; System scenarios; User study; Students,10.1016/j.cie.2023.109674,03608352,2023
344,Modeling and Balancing for Disassembly Lines Considering Workers With Different Efficiencies,"To achieve sustainable manufacturing of large-scale end-of-life products, disassembly for recycling and remanufacturing has been widely adopted by industries. Disassembly line balancing becomes an important and challenging issue. The disassembly efficiencies of workers are different in the actual disassembly line due to some factors, including disassembly environment, skill level, work enthusiasm, etc. However, efficiency differences are often ignored in previous studies, which ultimately lead to unbalanced workloads among stations. Therefore, this article establishes a disassembly line balancing model that considers workers with different efficiencies and introduces the bucket brigade model into the disassembly line. Its optimization objectives include workload smoothness, cost of workers, disassembly risk, and disassembly demand. To obtain high-quality solutions, a discrete flower pollination algorithm based on problem characteristics is proposed. The performance of the proposed algorithm is verified by comparing it with 11 algorithms. Finally, the proposed model and algorithm are applied to an actual television disassembly case considering workers with different efficiencies, and provide decision makers with multiple disassembly schemes.  © 2013 IEEE.",Wang K.; Li X.; Gao L.; Li P.,Bucket brigade; different efficiencies; disassembly line balancing; flower pollination algorithm (FPA); multiobjective optimization; Algorithms; Humans; Workload; Decision making; Job analysis; Multiobjective optimization; Recycling; Uncertainty analysis; Bucket brigades; Different efficiency; Disassembly line balancing; Flower pollination algorithm; Manufacturing; Multi-objectives optimization; Multiobjective optimization.; Optimisations; Programming; Recycling; Task analysis; Uncertainty; algorithm; human; workload; Efficiency,10.1109/TCYB.2021.3070122,21682267,2022
345,Cross-trained worker assignment problem in cellular manufacturing system using swarm intelligence metaheuristics,"Cross-trained worker assignment has become increasingly important for manufacturing efficiency and flexibility in cellular manufacturing system because of the recent increase in labor cost. Researchers mainly focused on assigning skilled workers to tasks for favorable capacity or cost. However, few of them have recognized the need for skill level enhancement through cross-training to avoid excessive training, especially for workload balance across multiple cells. This study presents a new mathematical programming model aimed at minimum training and maximum workload balance with economical labor utilization, to address the worker assignment problem with a cross-training plan spanning multiple cells. The model considers the trade-off between training expenditure and workload balance to achieve a more flexible solution based on decision-maker's preference. Considering the computational complexity of the problem, the classical swarm intelligence optimizers, i.e., particle swarm optimization (PSO) and artificial bee colony (ABC), are implemented to search the problem landscape. To improve the optimization performance, a superior tracking ABC with an augmented information sharing strategy is designed to address the problem. Ten benchmark problems are employed for numerical experiments. The results indicate the efficiency and effectiveness of the proposed models as well as the developed algorithms. © 2018 Lang Wu et al.",Wu L.; Cai F.; Li L.; Chu X.,Combinatorial optimization; Decision making; Economic and social effects; Efficiency; Mathematical programming; Particle swarm optimization (PSO); Swarm intelligence; Wages; Artificial bee colonies (ABC); Bench-mark problems; Cross-trained workers; Decision maker's preferences; Information sharing strategies; Manufacturing efficiency; Mathematical programming models; Numerical experiments; Cellular manufacturing,10.1155/2018/4302062,1024123X,2018
346,A CAD-Based Tool to Support the Configuration of Parts Storage Shelving in Assembly Workstations,"The supply of parts to the workstations of assembly lines is a critical design and operational issue. Even though automation and collaborative robots are increasingly used in industry, human operators are frequently employed in the picking and assembly of manual parts. These are time-consuming activities required to be efficiently performed at a high rate and for prolonged periods. Therefore, ergonomic analysis is necessary to reduce the risk of work-related musculoskeletal injuries due to the biomechanical loads. The proper layout of shelves storing part containers along the production line, and the location of the containers on the shelves, may improve picking efficiency and reduce biomechanical risk. Several manufacturing companies use computer-aided ergonomic tools to improve the design of manual production lines, racking, shelving, and workstations. This paper describes the development of a support tool to configure industrial light shelves for feeding the assembly lines. The approach includes the development of a knowledge base to support the geometrical configuration of the shelving and an ergonomic analysis based on the RULA method, considering the shelf’s position and the operator’s postures. As a test case, the model has been used to evaluate the ergonomic score of some configured shelving based on a prescribed picking sequence. The results show that the proposed approach can help in comparing the ergonomic score of candidate shelving layouts to improve the design of parts storage systems to reduce operators’ workload and ergonomic risk. © 2023 by the authors. Licensee MDPI, Basel, Switzerland.",Cicconi P.; Trovato M.; Caputo A.C.,CAD-based tool; configuration; ergonomics; industrial shelving; RULA,10.3390/ASEC2023-15303,26734591,2023
347,Proposed assembly line balancing using mixed integer programming to minimize idle time of union fuselage,"This study is aimed to help the company doing an assembly line balancing to minimize station time as not to exceed takt time and minimize idle time between workstation, using Mixed Integer Programming (MIP) method with Multi-manned Assembly Line Balancing (MmALBP) approach using two mathematical model, which 1st model aimed to minimize the cycle time of all workstation, then those cycle time being a parameter in 2nd Mathematical model to specified the optimal number of workers also balancing workload between operators. Result from this research were able to minimize station time from 218.56 hour to 166.3 hour so it didn't exceed the takt time and also could reduce total idle time until 45% from 905.2 hour in actual condition become 499.49 hour with decreased number of operator from 52 to 22 person, and increase the efficiency of assembly line from 54% in previous to 67% in the proposed line. © 2020 IOP Conference Series: Materials Science and Engineering.",Dewi N.P.C.S.; Damayanti D.D.; Astuti M.D.,,10.1088/1757-899X/1007/1/012094,17578981,2020
348,Augmented reality for industrial quality inspection: An experiment assessing task performance and human factors,"Augmented reality (AR) technologies promise to increase the flexibility and productivity of the workforce by providing real-time information to workers right where it is needed. Following Cognitive Load Theory and Attention Theory, AR assistance can reduce the burden on workers’ mental capacity while performing a task, thereby improving task performance. The benefits of AR on industrial activities like assembly or maintenance have been investigated extensively, but the literature on AR-assisted quality control, specifically, quality inspection, is scarce. This stands in contrast to the importance of industrial quality inspection and highlights the need for research on the topic. In this work, we develop an AR-based system for head-mounted displays (HMDs) that visualizes product defects directly on physical products. We investigate its effect on task performance and human factors through an experiment. Participants performed multiple quality inspections using real manufacturing products and equipment with the help of an AR HMD, a screen, or no additional help. We find increased task performance using the AR HMD system. In comparison to screen-based assistance, a moderating effect of task difficulty was observed. Specifically, AR was more beneficial to task completion times given a difficult task. Furthermore, the AR HMD system reduced mental workload and received a positive rating regarding user experience. Our work contributes to the research in industrial AR usage through a novel AR HMD system for quality inspection and provides so far missing empirical and theoretically grounded evidence on its benefits with regard to task performance and human factors. © 2023 The Author(s)",Seeliger A.; Cheng L.; Netland T.,Augmented reality; Cognitive load; Experiment; Head-mounted display; Manufacturing; Quality inspection; Helmet mounted displays; Human engineering; Industrial research; Inspection; Augmented reality technology; Cognitive loads; Head mounted display systems; Head-mounted-displays; Industrial quality; Manufacturing; Quality inspection; Real-time information; Task performance; Worker rights; Augmented reality,10.1016/j.compind.2023.103985,01663615,2023
349,The study on workload analysis of construction workers operating at elevated jobsite using wearable physiological monitor,"Occupational accidents and casualties in the construction industry are ranked first among all industries. Construction workers are urged to avoid increasing workload and fatigue due to work environment factors in the jobsite with specific hazards of high risk. The present study adopts the photoplethysmography (PPG) monitoring technology of the wearable wristband for monitoring the heart rate (HR). The study establishes the heart rate schema of the workers, evaluate their workload levels, and verify the physiological impact of working at elevated jobsite on the workload through a statistical T-test. In this study, the T-test in pairs reaches the results of 15-minute time interval unit is the most suitable data analysis interval. The worker working in an elevated environment increases heart rate due to the afraid of height and relatively reduce the worker’s ability to adapt to tasks with high physical demands. It is estimated that more than 10% of working time increased from moderate to heavy workload. © 2024 The Chinese Institute of Engineers.",Chen W.-C.; Chia C.M.; Tserng H.P.; Teh C.H.,"heart rate (HR); Jobsite with specific hazards; Ou, Yu-Chen; Ou, Yu-Chen; photoplethysmography (PPG); work at elevated jobsite; workload; Construction industry; Heart; Occupational risks; Photoplethysmography; Wearable technology; Heart rate; Heart-rate; Job sites; Jobsite with specific hazard; Ou, yu-chen; Photoplethysmography; Work at elevated jobsite; Workload; Hazards",10.1080/02533839.2024.2334208,02533839,2024
350,Lean Warehouse Management through Value Stream Mapping: A Case Study of Sugar Manufacturing Company in Thailand,"The price war is commercial competition characterized by the repeated cutting of prices below those of competitors. The sugar industry is the country's most important business in Thailand that is facing a price wars competition in the global market. Sugar manufacturers have to eliminate and reduce the cost that occurs from non-value-added activities from processes to compete with the producer from other countries. Then, lean manufacturing (LM) is used to be a systematic approach for the identification and elimination of wastes (non-value-added activities) from processes. It can apply to all types of business organizations to enhance productivity and minimize cost. This study aims to apply lean manufacturing for analyzing, improving and eliminating unnecessary activities through value stream mapping (VSM) in warehouse management of sugar manufacturing company in Thailand. All activities are broken down into smaller activities to can be analyzed via workload analysis. ECRS principle is used to make up new activities after identifying the waste and the optimal workflows. The results illustrated that one operation process was removed, the number of workers was decreased by 3 persons, the cycle time of warehouse management decreased by 36% and the total workload of workers decreased by 48%. © 2021 IEEE.",Ketchanchai P.; Tangchaidee K.; Kongprasert N.,ECRS; lean manufacturing; sugar manufacturing; value stream mapping; warehouse management; workload analysis; Agile manufacturing systems; Competition; Human resource management; International trade; Lean production; Mapping; Sugar industry; Sugar manufacture; Warehouses; Business organizations; Global market; Manufacturing companies; Non-value added; Operation process; Value stream mapping; Warehouse management; Workload analysis; Costs,10.1109/ICIEA52957.2021.9436732,,2021
351,Towards large-scale evaluation of mental stress and biomechanical strain in manufacturing environments using 3D-referenced gaze and wearable-based analytics,"In future manufacturing human-machine interaction will evolve towards flexible and smart collaboration. It will meet requirements from the optimization of assembly processes as well as from motivated and skilled human behavior. Recently, human factors engineering has substantially progressed by means of detailed task analysis. However, there is still a lack in precise measuring cognitive and sensorimotor patterns for the analysis of long-term mental and physical strain. This work presents a novel methodology that enables real-time measurement of cognitive load based on executive function analyses as well as biomechanical strain from non-obtrusive wearable sensors. The methodology works on 3D information recovery of the working cell using a precise stereo measurement device. The worker is equipped with eye tracking glasses and a set of wearable accelerometers. Wireless connectivity transmits the sensor-based data to a nearby PC for monitoring. Data analytics then recovers the 3D geometry of gaze and viewing frustum within the working cell and furthermore extracts the worker's task switching rate as well as a skeleton-based approximation of worker's posture associated with an estimation of biomechanical strain of muscles and joints. First results enhanced by AI-based estimators demonstrate a good match with the results of an activity analysis performed by occupational therapists.  © 2021, Society for Imaging Science and Technology.",Paletta L.; Ganster H.; Schneeberger M.; Pszeida M.; Lodron G.; Pechstädt K.; Spitzer M.; Reischl C.,Behavioral research; Biomechanics; Data Analytics; Eye tracking; Human engineering; Industrial robots; Intelligent robots; Job analysis; Manufacture; Molecular biology; Stereo image processing; Switching frequency; Executive function; Human machine interaction; Manufacturing environments; Precise measuring; Real time measurements; Sensor based data; Stereo measurements; Wireless connectivities; Wearable sensors,10.2352/ISSN.2470-1173.2021.6.IRIACV-310,24701173,2021
352,Towards mobile projective AR for construction co-robots,"The construction industry has been suffering from both low labor productivity growth and safety issues, due to the increasing project site complexities and the lack of skilled labors. As a potential technical solution, Augmented Reality (AR) has been studied to reduce the cognitive workloads in construction job sites by visualizing task-related information in the direct context of the workspace and operations. Instead of using helmets/goggles that may decrease users’ field of views, we advocate mobile projectors for AR (MPAR), and propose a camera-projector system to ensure consistent AR projection even if the projectors may change poses when installed on mobile platforms such as human workers or even construction collaborative robots (co-robot). By obtaining the projector’s pose relative to the projection plane (e.g., a wall or panel on construction site) via composing a series of homography transformations in this system, we could determine how to warp virtual information (images or 3D models) for desired projections, no matter whether human observers’ head poses are needed. We demonstrate the effectiveness of the method using two construction AR applications: displaying occluded as-planned or as-built facility information behind a mock-up wall. © 2019 International Association for Automation and Robotics in Construction I.A.A.R.C. All rights reserved.",Xiang S.; Wang R.; Feng C.,Camera-projector system; Mobile co-robots; Pose estimation; Projector-based AR; Accident prevention; Augmented reality; Cameras; Construction industry; Productivity; Robotics; Virtual reality; Walls (structural partitions); Camera-projector systems; Cognitive workloads; Collaborative robots; Construction job sites; Facility informations; Homography transformation; Pose estimation; Virtual information; Robots,10.22260/isarc2019/0147,,2019
353,Assessment of isometric pulls strength of industrial cart pullers - An electromyography study from an apparel manufacturing industry,"Manual material handling and occupational tasks demanding physical push-pull activities are very common in various industrial settings regardless of automation. These activities may become the cause of fatigue, accidents and/or different occupational hazards if not properly focused to balance workload as per physical strength and stamina of the worker. This cross-sectional study was conducted to assess the isometric pull strength of apparel cart/trolley pullers and muscular activity of upper limbs. Jackson strength evaluation system was used to measure isometric pull strengths while IXTA Data Acquisition System to measure and analyze the muscle activity. The experiments were conducted with twenty work-in-process (WIP) manual material handlers of an apparel manufacturing industry. Electromyographical (EMG) data of muscle activity was collected by placing electrodes on pronator teres, brachial biceps, pectoralis major and lower trapezius muscles during the pull tasks. The results show that torso pull in seated posture has the maximum isometric average value of 62.20 ± 5.91 kg while arm lift has the minimum strength value of 37.10 ± 4.61 kg. Assessment of muscle fatigue caused by pulling force is important in determining job severity of workers and mitigating occupational injuries which help in balancing workloads for effective management. © 2019 The Authors. Published by Elsevier Ltd.",Rashid Z.; Shafiq M.; Aslam M.A.; Menanno M.; Iqbal N.; Khan H.B.; Ragno P.,Apparel Manufacturing; Cart pullers; Electromyography (EMG); Isometric pull strength; Maximum Voluntary Isometric Contraction (MVIC),10.1016/j.promfg.2020.01.307,23519789,2019
354,Assessment of implicit and explicit measures of mental workload in working situations: Implications for industry 4.0,"Nowadays, in the context of Industry 4.0, advanced working environments aim at achieving a high degree of human-machine collaboration. This phenomenon occurs, on the one hand, through the correct interpretation of operators' data by machines that can adapt their functioning to support workers, and on the other hand, by ensuring the transparency of the actions of the system itself. This study used an ad hoc system that allowed the co-registration of a set of participants' implicit and explicit (I/E) data in two experimental conditions that varied in the level of mental workload (MWL). Findings showed that the majority of the considered I/E measures were able to discriminate the different task-related mental demands and some implicit measures were capable of predicting task performance in both tasks. Moreover, self-reported measures showed that participants were aware of such differences in MWL. Finally, the paradigm's ecology highlights that task and environmental features may affect the reliability of the various I/E measures. Thus, these factors have to be considered in the design and development of advanced adaptive systems within the industrial context. © 2020 by the authors.",Mingardi M.; Pluchino P.; Bacchin D.; Rossato C.; Gamberini L.,Electrodermal activity; Eye tracking; Heart rate; Human-machine interaction; Implicit/explicit measures; Mental workload; NASA-TLX; Symbiotic system; Working tasks,10.3390/APP10186416,20763417,2020
355,Unsupervised-based framework for aged worker’s stress detection,"The new industry 4.0 paradigm provides for totally automated and interconnected industrial production processes that require greater human-machine interaction. This involves the onset of new problems related to the stress evaluation of the aged worker which is found to operate in new and more complex work contexts. In literature several works for human stress detection are presented, they use above supervised machine learning with high accuracy level detection, but needed a complicated training phase. Moreover, a relevant issue in the field of stress detection lies in the model validation, indeed the commonly questionnaires used to record perceived stress levels are prone to subjective inaccuracies. To reduce this limitation, in this paper an unsupervised machine learning based stress detection system, in which the labels from perceived stress levels are not needed, is presented. It analyses heart rate, galvanic skin response and electrooculogram signals, relevant for the detection of excessive stress and cognitive load. The developed architecture software has been experimented in laboratory contest and preliminary obtained results appear promising. © 2020 Copyright for this paper by its authors.",Rescio G.; Leone A.; Siciliano P.,Stress monitoring; Unsupervised learning; Wearable sensors; Electrophysiology; Learning systems; Stresses; Supervised learning; Surveys; Electro-oculogram; Galvanic skin response; Human machine interaction; Industrial production; Model validation; Stress evaluations; Supervised machine learning; Unsupervised machine learning; Occupational risks,,16130073,2020
356,Multi‐manned assembly line balancing: Workforce synchronization for big data sets through simulated annealing,"The assembly of large and complex products such as cars, trucks, and white goods typi-cally involves a huge amount of production resources such as workers, pieces of equipment, and layout areas. In this context, multi‐manned workstations commonly characterize these assembly lines. The simultaneous operatorsʹ activity in the same assembly station suggests considering com-patibility/incompatibility between the different mounting positions, equipment sharing, and worker cooperation. The management of all these aspects significantly increases the balancing problem complexity due to the determination of the start/end times of each task. This paper proposes a new mixed‐integer programming model to simultaneously optimize the line efficiency, the line length, and the workload smoothness. A customized procedure based on a simulated annealing algorithm is developed to effectively solve this problem. The aforementioned procedure is applied to the balancing of the real assembly line of European sports car manufacturers distinguished by 665 tasks and numerous synchronization constraints. The experimental results present remarkable performances obtained by the proposed procedure both in terms of solution quality and computation time. The proposed approach is the practical reference for efficient multi‐manned assembly line design, task assignment, equipment allocation, and mounting position management in the considered industrial fields. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Pilati F.; Ferrari E.; Gamberi M.; Margelli S.,Automotive; Big data set; Equipment sharing; Mounting position; Multi‐manned assembly line; Simulated annealing; Synchronization; Workers cooperation,10.3390/app11062523,20763417,2021
357,Mental workload of local vs remote operator in human-machine interaction case study,"Since late 2019, a novel Coronavirus disease 2019 (COVID-19) has spread globally. As a result, businesses were forced to send their workforce into remote working, wherever possible. While research in this area has seen an increase in studying and developing technologies that allow and support such remote working style, not every sector is currently prepared for such a transition. Especially the manufacturing sector has faced challenges in this regard. In this paper, the mental workload of two groups of participants is studied during a human-robot interaction task. Participants were asked to bring a robotised cell used in a dispensing task to full production by tuning system parameters. After the experiment, a self-assessment of the participants' perceived mental workload using the NASA Task Load Index (NASA-TLX) was used. The results show that remote participants tend to have lower perceived workload compared to the local participants. © 2021 The authors and IOS Press.",Zimmer M.; Al-Yacoub A.; Ferreira P.; Hubbard E.-M.; Lohse N.,Ergonomics; Human-Robot Interaction; Mental Workload; NASA-TLX; Remote Working; Ergonomics; Human robot interaction; Man machine systems; Case-studies; Human machine interaction; Humans-robot interactions; Load index; Manufacturing sector; Mental workload; NASA task load index; Remote operator; Remote working; Working styles; NASA,10.3233/ATDE210008,2352751X,2021
358,Work Tempo Instruction Framework for Balancing Human Workload and Productivity in Repetitive Task,"This paper proposes a feedback framework that adjusts human workload and productivity by instructing work tempo and personalizes work according to individual differences. For feedback of optimal work tempo, this study proposes a human worker state transition model to investigate the effects of work tempo instructions on workload and productivity. Based on the results obtained, we proposed a feedback policy using our proposed worker state transition model. By testing our proposed framework in a picking task, we showed the possibility to balance productivity and workload. © 2024 Copyright held by the owner/author(s)",Shirakura N.; Yamanobe N.; Maruyama T.; Domae Y.; Ogata T.,HCI; Human-centered system; Manufacturing; Workload; Human centered systems; Individual Differences; Manufacturing; Repetitive task; State-transition model; Workers'; Workload; Balancing,10.1145/3610978.3640756,21672148,2024
359,Research on collaborative task assignment method of assembly line,"Purpose: The purpose of this paper is to construct a task assignment model for U-shaped production lines with collaborative task, which is optimized by minimizing the number of workers and balancing the workload of the operators. The ultimate goal is to increase productivity by increasing the U-line balance and balancing the load on the operators. Design/methodology/approach: First, task selection and update mechanism are analyzed and the task selection mechanism suitable for collaborative task is proposed. Second, M-COMOSAL is obtained by improving the original COMOSAL. Finally, The M-COMOSAL algorithm and the COMAOSAL algorithm are used to perform job assignment on the double-acting clutch U-shaped assembly line. Findings: According to the allocation scheme obtained by M-COMSOAL, the beat can be adjusted according to the change of order demand. The final allocation scheme is superior to the COMSOAL algorithm in terms of number of workers, working time, production tempo and balance rate. In particular, compared with the old scheme, the new scheme showed a decrease of 16.7% in the number of employees and a 18.8% increase in the production line balance rate. Thus, the method is helpful to reduce the number of operators and balance the workload. Originality/value: The new algorithm proposed in this paper for the assignment of collaborative task can minimize the number of workers and balance the load of operators, which is of great significance for improving the balance rate of U-shaped production lines and the utilization of personnel or equipment. © 2021, Emerald Publishing Limited.",Shen W.; Jiang Q.; Yang Y.,Collaborative task; Task allocation; U-shaped production line; Workload; Assembly; Assembly machines; Collaborative tasks; Production line; Selection mechanism; Task allocation; Task selection; Tasks assignments; U-shaped; U-shaped production line; Workers'; Workload; Personnel,10.1108/AA-08-2020-0114,01445154,2022
360,"Seru system balancing: Definition, formulation, and exact solution","Seru production can reduce makespan, labor hours and manpower by improving workers’ workload balance based on the reconfiguration of workers. Therefore, this study focuses on the fundamental principles of seru system balancing. For a seru, we define and formulate seru balance (SB) to describe workloads balance of the workers in the seru. For a seru system containing more serus, the seru system balance (SSB) needs to be evaluated from workloads balance of all workers and workloads balance among all serus. Consequently, we define and formulate intra-seru system balancing (Intra-SSB) and inter-seru system balancing (Inter-SSB) to evaluate the two perspectives respectively. We theoretically develop the lower and upper bounds of Intra-SSB and Inter-SSB respectively. In addition, we define and formulate the seru system balancing problem (SSBP) as a bi-objective model with maximizing Intra-SSB and Inter-SSB simultaneously. The property of solution space for SSBP is analyzed. Finally, we develop an improved algorithm based on ε-constraint for SSBP. The algorithm saves computation time by cutting non-Pareto-optimal solutions before performing ε-constraint. © 2018 Elsevier Ltd",Yu Y.; Wang J.; Ma K.; Sun W.,Balancing; Manufacturing; Seru production; Workload; Balancing; Engineering; Industry; Manufacture; Biobjective model; Fundamental principles; Lower and upper bounds; Pareto optimal solutions; Property of solution; System balancing; Workload; Workload balance; Pareto principle,10.1016/j.cie.2018.05.048,03608352,2018
361,Sensitivity analysis and validation of a genetic approach to enhance ergonomics in assembly lines,"Manual assembly processes are largely performed today in the industry to benefit from human features of dexterity and flexibility. For this reason, the human factor should be properly regarded when designing assembly processes and systems, where repetitive and physically demanding operations are frequent. This work aims to present and validate a software tool for solving a bi-objective version of the assembly line balancing problem, in which, besides the efficiency of the process, the optimization of ergonomics is pursued. The software, based on a genetic algorithm, aims to distribute assembly tasks on the line to smooth the energetic workload among the different workers assigned to manual workstations, considering their physical capabilities and limits. To validate the system and assess its robustness, tests for different case studies taken from the industrial reality are presented and discussed, together with a sensitivity analysis conducted on problem parameters. Experimental results show that the developed tool optimizes the two objectives in different scenarios, thus demonstrating its profitable use in the industrial reality for planning manual assembly processes that do not overload workers assigned to the line. © 2023, The Author(s).",Dalle Mura M.; Dini G.,Assembly; Ergonomics; Genetic algorithm; Line balancing; Sensitivity analysis; Validation; Assembly; Assembly machines; Ergonomics; Sensitivity analysis; Assembly line; Assembly process; Assembly systems; Bi objectives; Genetic approach; Line balancing; Manual assembly; Software-tools; Validation; Workers'; Genetic algorithms,10.1007/s11740-023-01219-1,09446524,2024
